,DQN
1661,-3
1662,-2
1663,0
1664,1
1665,-10
1666,-14
1667,-20
1668,-2
1669,-1
1670,-20
1671,-20
1672,-4
1673,-1
1674,-20
1675,0
1676,0
1677,1
1678,-1
1679,0
1680,0
1681,0
1682,-1
1683,-1
1684,0
1685,0
1686,-2
1687,-1
1688,-3
1689,0
1690,1
1691,-1
1692,-20
1693,-3
1694,-2
1695,0
1696,-3
1697,0
1698,-2
1699,-1
1700,-3
1701,0
1702,0
1703,0
1704,-17
1705,-2
1706,0
1707,-1
1708,-2
1709,-3
1710,-20
1711,0
1712,-1
1713,-5
1714,-1
1715,0
1716,0
1717,-1
1718,0
1719,0
1720,0
1721,-1
1722,0
1723,-1
1724,-2
1725,-1
1726,-1
1727,-8
1728,-2
1729,-3
1730,-3
1731,-3
1732,0
1733,-14
1734,1
1735,-8
1736,-9
1737,-2
1738,-2
1739,-2
1740,-1
1741,-1
1742,-2
1743,0
1744,-18
1745,0
1746,0
1747,-1
1748,1
1749,-2
1750,0
1751,1
1752,-5
1753,-1
1754,-1
1755,-1
1756,-2
1757,0
1758,0
1759,-4
1760,-5
1761,-2
1762,-2
1763,0
1764,-3
1765,0
1766,-3
1767,-2
1768,0
1769,0
1770,0
1771,-1
1772,0
1773,-1
1774,-1
1775,-2
1776,0
1777,-1
1778,-4
1779,-2
1780,0
1781,-1
1782,0
1783,-1
1784,-1
1785,-1
1786,-4
1787,-8
1788,0
1789,-5
1790,-1
1791,0
1792,-1
1793,0
1794,-1
1795,-1
1796,-1
1797,-4
1798,0
1799,-2
1800,0
1801,1
1802,-1
1803,-2
1804,-2
1805,-2
1806,0
1807,-2
1808,0
1809,-20
1810,1
1811,0
1812,-5
1813,-20
1814,-2
1815,-2
1816,1
1817,-20
1818,0
1819,-1
1820,-4
1821,-1
1822,-1
1823,0
1824,-1
1825,1
1826,-2
1827,0
1828,0
1829,0
1830,-1
1831,0
1832,0
1833,-1
1834,0
1835,-1
1836,-3
1837,-6
1838,0
1839,-3
1840,-1
1841,-2
1842,-1
1843,-1
1844,0
1845,-2
1846,0
1847,-20
1848,-2
1849,-1
1850,-2
1851,-2
1852,-1
1853,-1
1854,-1
1855,-2
1856,-2
1857,1
1858,0
1859,-2
1860,-1
1861,-20
1862,0
1863,-20
1864,1
1865,-3
1866,-20
1867,-2
1868,-2
1869,-8
1870,-1
1871,-20
1872,1
1873,-2
1874,-2
1875,-4
1876,-20
1877,-3
1878,-4
1879,-2
1880,-1
1881,-2
1882,-2
1883,-4
1884,1
1885,-2
1886,1
1887,0
1888,-1
1889,-2
1890,-9
1891,0
1892,-6
1893,-1
1894,-1
1895,-1
1896,1
1897,-20
1898,-15
1899,0
1900,-2
1901,0
1902,-3
1903,-1
1904,0
1905,-14
1906,0
1907,0
1908,-6
1909,0
1910,1
1911,-20
1912,-20
1913,-3
1914,-4
1915,-5
1916,-7
1917,-8
1918,-2
1919,-20
1920,-1
1921,-4
1922,1
1923,1
1924,1
1925,-2
1926,-1
1927,-1
1928,-2
1929,-3
1930,-3
1931,1
1932,-3
1933,-3
1934,0
1935,-1
1936,-2
1937,0
1938,-4
1939,-6
1940,-2
1941,-1
1942,-3
1943,0
1944,0
1945,-2
1946,-1
1947,-3
1948,-3
1949,0
1950,0
1951,-7
1952,-6
1953,0
1954,-1
1955,-7
1956,-3
1957,-1
1958,-1
1959,-1
1960,-2
1961,-1
1962,-2
1963,-1
1964,-1
1965,-10
1966,-2
1967,-6
1968,-3
1969,-2
1970,-5
1971,-14
1972,0
1973,-20
